"id","adage","owner","keywords","language","created_at","updated_at"
"730","Müziğin sesini duymayanlar, dans edenleri deli sanırlar.","Friedrich Nietzsche","dans, bakış açısı, yaşam","1","2024-08-12 20:28:57","2024-08-12 20:28:57"
"731","İnsanın kanadı gayretidir.","Mevlânâ Celâleddîn-i Rûmî","gayret, amaç, insan, olmak","1","2024-08-13 17:11:05","2024-08-13 17:11:05"
"732","Testide ne varsa, dışına o sızar.","Mevlânâ Celâleddîn-i Rûmî","iç, öz","1","2024-08-13 17:14:44","2024-08-13 17:14:44"
"733","Vaktinden önce mutsuz olma.","Seneca","acı, yaşam, elem","1","2024-08-13 17:21:24","2024-08-13 17:21:24"
"734","Savaşlarınızda seçici olun. Her savaş kazanmaya değmez.","Sun Tzu","savaş, barış, seçim, kazanmak","1","2024-08-26 15:28:54","2024-08-26 15:28:54"
"735","Psikolojik olarak sağlam olmak; hayatın adil olmadığını bilip yine de kazanmaya oynamaktır.","Marcus Aurelius","kazanmak, psikoloji, hayat, adalet, çaba","1","2024-08-26 15:28:54","2024-08-26 15:28:54"
"736","Kendini gerçekleştirmek, içindeki şeytanları baskılarken onlarla arkadaş da olmaktır.","Lao Tzu","kendini gerçekleştirmek, şeytan, arkadaş","1","2024-08-26 15:32:44","2024-08-26 15:32:44"
"737","Aşk, çok sevginin kalıcı olacağı yanılsamasıdır.","Mahir Yıldızhan","aşk, sevgi, yanılsama","1","2024-08-28 07:26:45","2024-08-28 07:26:45"
"738","Zevkler belli bir sınırı aştığında, sadece cezadır.","Marcus Aurelius","zevk, ceza, sınır, aşırılık","1","2024-09-15 17:33:33","2024-09-15 17:33:33"
"739","Sen kim olduğuna karar veremediğin zaman, senin kim olduğuna başkası karar verecektir...","Nizar Kabbânî","karar, yaşam, bilgi, kimlik, kişilik, dış etki","1","2024-09-23 21:16:50","2024-09-23 21:16:50"
"740","Mümkün olsaydı her karış toprağa buğday eker gibi kitap ekerdim.","Horace","kitap, bilgi, kıymet, değer","1","2024-09-25 13:48:47","2024-09-25 13:48:47"
"741","Yarınlar hep güzel olacak denir. Oysa bugünler, dünün yarınları değil midir?","Victor Hugo","mutluluk, anı yakalamak, güzel, gün, yaşam, an","1","2024-10-03 06:07:22","2024-10-03 06:07:22"
"742","İletişimde en önemli şey, söylenmeyeni işitmektir.","Carl Gustav Jung","iletişim, söz, ima,","1","2024-11-04 12:05:53","2024-11-04 12:05:53"
"743","Gerçek yolculuk, yeni yerler aramak değil, yeni bir gözle bakmaktır.","Marcel Proust","yolculuk, göz, mekan, yol","1","2024-11-23 11:04:36","2024-11-23 11:04:36"
"744","Anlamı olan bir hayat, ne kadar zor olursa olsun yaşamaya değerdir.","Victor Emil Frankl","anlam, insan, yaşam","1","2025-01-19 13:54:01","2025-01-19 13:54:01"
"745","Acı geçiyor, acı elbette geçiyor, acı çekmiş olmak geçmiyor.","Kemal Varol","acı, yaşamak, hayat","1","2025-07-16 17:47:08","2025-07-16 17:47:08"
"746","İnsanın başına gelen kötü şey yapayalnız kalması değil, yapayalnız hissetmesine neden olacak insanlarla birlikte yaşamasıdır.","Goethe","yaşam, yalnızlık, his, doğru, insan","1","2025-07-19 14:51:13","2025-07-19 14:51:13"
"747","Yalnızlık, tüm ölü dallarımızı parçalayan sessiz bir fırtınadır. Buna rağmen yaşayan köklerimizi, yaşayan dünyanın yaşayan kalbinin daha derinlerine ulaştırır.","Halil Cibran","yaşam, yalnızlık, ölü","1","2025-07-20 08:14:51","2025-07-20 08:14:51"
"748","Kimse düşündüğün kadar masum değil, ya da kalmayacak…","Mahir Yıldızhan","masumiyet, yaşam","1","2025-08-16 20:17:20","2025-08-16 20:17:20"
"749","Kimin umrundayım? Bilmiyorum. Ama hayat kimsenin umrunda değil, onu biliyorum!","Mahir Yıldızhan","Mahir Yıldızhan 12/11/2024 Salı 23:46","1","2025-08-16 20:20:36","2025-08-16 20:20:36"
"750","Felsefe;  cevabını bulamayacağın zor sorularına cevap arayıp, bu yolculukla yaşamına anlam katmaktır.","Mahir Yıldızhan",NULL,"1","2025-08-16 20:21:29","2025-08-16 20:21:29"
"751","Hayat demek ölümü beklemektir.","Anonim","Hayat, ölüm, beklemek, acı, sevinç, düğün","1","2025-11-05 07:56:14","2025-11-05 07:56:14"
"752","Kötülerin kaybetmediği bir ülke, çocuklarına ahlâkı öğretemez.","Slavoj Žižek","ahlak, ülke, çocuk","1","2025-11-10 09:33:41","2025-11-10 09:33:41"
"753","Başlamak için mükemmel olmanıza gerek yok, ama mükemmel olmanız için başlamanız gerekir.","Zig Ziglar","başlamak, mükemmel, süreç","1","2025-11-12 21:45:05","2025-11-12 21:45:05"
"754","Senin almaya cesaret edemediğin riskleri alanlar, senin yaşamak istediğin hayatı yaşarlar.","Sokrates","risk, cesaret, hayat, başlamak","1","2025-11-12 21:47:49","2025-11-12 21:47:49"
"755","Öfkelendiğin şey seni kontrol eder.","Aytuğ Akdoğan, Youtube","öfke, kontrol","1","2026-01-01 22:46:24","2026-01-01 22:46:24"
